company_id,name,industry,primary_site,data_quality_score,support_team_size,support_channels_count,has_24_7_support,data_sources
C0029,Ингосстрах,insurance,https://qr.nspk.ru/BS1A003B1PBA4MS09TGQ0R80T3CIKHI6?type=01&bank=100000000135&crc=2EE7,100,10,5,True,"enriched, jobs_detailed, jobs_simple"
C0031,СОГАЗ,insurance,https://www.sogaz.ru,100,10,5,True,"enriched, jobs_detailed, jobs_simple"
C0041,ПЭК,logistics,https://pecom.ru/,100,45,4,False,"enriched, jobs_detailed, jobs_simple"
C0043,Boxberry,logistics,https://dostavka.yandex.ru/boxberry-site/,100,10,4,True,"enriched, jobs_detailed"
C0047,Сургутнефтегаз,energy,https://www.surgutneftegas.ru/,96,1,2,False,"enriched, jobs_detailed, jobs_simple"
C0005,Газпромбанк,bank,https://www.gazprombank.ru/personal/page/faq-deposit/#faq,85,14,4,False,"enriched, jobs_detailed, jobs_simple"
C0016,Эльдорадо,retail,https://hh.ru/employer/2523,85,43,4,True,"enriched, jobs_detailed, jobs_simple"
C0019,Магнит,retail,https://magnit.ru/faq,85,10,4,True,"enriched, jobs_detailed, jobs_simple"
C0037,Уральские авиалинии,airline,https://www.uralairlines.ru/faq_main/,85,12,4,False,"enriched, jobs_detailed, jobs_simple"
C0002,Тинькофф Банк,bank,https://www.cdn-tinkoff.ru/frontend-libraries/nojswarning/index.html,84,29,3,True,"enriched, jobs_detailed, jobs_simple"
C0011,Wildberries,retail,https://www.wildberries.ru,84,10,3,True,"enriched, jobs_detailed"
C0034,Аэрофлот,airline,https://www.aeroflot.ru/ru-ru/,84,36,3,False,"enriched, jobs_detailed, jobs_simple"
C0042,СДЭК,logistics,https://www.cdek.ru/ru/faq/,84,3,3,False,"enriched, jobs_detailed, jobs_simple"
C0045,Лукойл,energy,https://lukoil.ru,84,37,3,False,"enriched, jobs_detailed, jobs_simple"
C0010,Ростелеком,telecom,https://ufa.rt.ru/,81,32,2,False,"enriched, jobs_detailed, jobs_simple"
C0022,VK,it,https://m.vk.com/,81,10,2,False,"enriched, jobs_detailed, jobs_simple"
C0028,2ГИС,it,https://2gis.ru,81,1,2,False,"enriched, jobs_detailed, jobs_simple"
C0036,Победа,airline,https://www.pobeda.aero,81,1,2,False,"enriched, jobs_detailed, jobs_simple"
C0044,Газпром,energy,https://www.gazprom.ru,81,16,2,False,"enriched, jobs_detailed, jobs_simple"
C0004,ВТБ,bank,https://www.vtb.ru/personal/investicii/help/,78,142,1,False,"enriched, jobs_detailed, jobs_simple"
C0012,OZON,retail,https://www.ozon.ru/complaint/support/?incident_id=fab_chlg_20251223113539_01KD5FWMEXD7SMPCK8MRE5JRPE&platform=web&token=1.S0SO2XcS3KvIkzPA-aj6ZcRxFvO9jUY8y7AsUL3sMJDfKwwZjMU3t8SPJ8-7acf-_lXjgJ4T31k70rtq5uuz-3lIMB4EBW5TEjmcLdttBgiZ5xUDao4_UeBCJtXdsQUafpKNPL7UDLf_Rp61P92ToLhwu0oJAXtmZR4Sm9o4BptJtJHQG_5OnRSyTrn5FIQ9uop4eLUn5mjVqSvg5n3W1nivNFREBlHRwUswSl0eU4v_IIiv4TUbituO8L_TfKzKdBhHrL35M6-gsqfCxZGqwdFsMUipUQA-Wx1qzEISUK2xgAfEKJaph_sMQWo70QMpvYXlzMDYLBWaz4zIeXSY7pxb4Q&back_url=/,78,23,1,False,"enriched, jobs_detailed, jobs_simple"
C0013,Яндекс.Маркет,retail,https://market.yandex.ru,78,10,1,False,"enriched, jobs_detailed, jobs_simple"
C0015,М.Видео,retail,https://www.mvideo.ru,78,43,1,False,"enriched, jobs_detailed, jobs_simple"
C0046,Роснефть,energy,https://www.rosneft.ru/,78,1,1,False,"enriched, jobs_detailed, jobs_simple"
C0001,Сбербанк,bank,https://www.sberbank.ru/,75,124,0,False,"enriched, jobs_detailed, jobs_simple"
C0003,Альфа-Банк,bank,https://hh.ru/employer/80,75,14,0,False,"enriched, jobs_detailed, jobs_simple"
C0008,МегаФон,telecom,https://bashkortostan.megafon.ru/help/lk/?from=mf_b2c_menu,75,0,4,False,"enriched, jobs_detailed, jobs_simple"
C0017,DNS,retail,https://hh.ru/employer/5920492,75,2,0,False,"enriched, jobs_detailed, jobs_simple"
C0021,Яндекс,it,https://yandex.ru,75,10,0,False,"enriched, jobs_detailed, jobs_simple"
C0032,АльфаСтрахование,insurance,https://hh.ru/employer/370,75,62,0,False,"enriched, jobs_detailed, jobs_simple"
C0040,Деловые Линии,logistics,https://hh.ru/employer/29413,75,3,0,False,"enriched, jobs_detailed, jobs_simple"
C0048,Татнефть,energy,https://hh.ru/employer/575665,75,31,0,False,"enriched, jobs_detailed, jobs_simple"
C0049,Яндекс.Такси,service,https://taxi.yandex.ru/,75,10,0,False,"enriched, jobs_detailed, jobs_simple"
C0009,Tele2,telecom,https://msk.t2.ru/journal/category/instructions,74,0,3,False,"enriched, jobs_detailed"
C0030,Ренессанс Страхование,insurance,https://www.renins.com,74,0,3,False,"enriched, jobs_detailed"
C0035,S7 Airlines,airline,https://www.s7.ru,74,0,3,False,"enriched, jobs_detailed"
C0038,Россия,airline,https://www.rossiya-airlines.ru/about/contacts/feedback/,74,0,3,False,"enriched, jobs_detailed"
C0039,РЖД,transport,https://www.rzd.ru/,74,0,3,False,"enriched, jobs_detailed, jobs_simple"
C0006,МТС,telecom,https://mts.ru,71,0,2,False,"enriched, jobs_detailed, jobs_simple"
C0007,Билайн,telecom,https://ufa.beeline.ru/customers/products/,71,0,2,False,"enriched, jobs_detailed"
