company_id,company_original_name,company_name_normalized,website,industry,company_size,location,description,email,phone,recent_jobs,job_count,source,data_quality_score,last_updated,name,site_url,inn,site,parsing_success,parsing_method,final_url,has_support_email,has_contact_form,has_online_chat,has_messengers,has_support_section,has_kb_or_faq,mentions_24_7,support_team_size_min,evidence_url,evidence_type,analysis_method,support_evidence,support_url,chat_vendor,page_title,kb_url,support_email,parsing_error
COMP_0001,Сбербанк,Сбербанк,,bank,Не указан,,,,,,,"seed, enriched",30,2025-12-23 17:25:29,Сбербанк,https://www.sberbank.ru,7707083893,https://www.sberbank.ru,True,requests,https://www.sberbank.ru/,False,False,False,False,False,False,False,0.0,https://www.sberbank.ru/,site,combined,nan,nan,nan,nan,nan,nan,nan
COMP_0002,Тинькофф Банк,Тинькофф Банк,,bank,Не указан,,,,,,,"seed, enriched",30,2025-12-23 17:25:29,Тинькофф Банк,https://www.tinkoff.ru,7710140679,nan,True,nan,nan,False,False,True,False,True,False,True,10.0,nan,nan,nan,Поддержка 24/7 (сменный график требует минимум 10 человек),https://www.cdn-tinkoff.ru/frontend-libraries/nojswarning/index.html,unknown,"Т-Банк — Кредитные и дебетовые карты, кредиты для бизнеса и физических лиц | Тинькофф",nan,nan,nan
COMP_0003,Альфа-Банк,Альфа-Банк,,bank,Не указан,,,,,,,"seed, enriched",30,2025-12-23 17:25:29,Альфа-Банк,https://alfabank.ru,7728168971,nan,True,nan,nan,False,False,False,False,False,False,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
COMP_0004,ВТБ,ВТБ,,bank,Не указан,,,,,,,"seed, enriched",30,2025-12-23 17:25:29,ВТБ,https://www.vtb.ru,7736212660,nan,True,nan,nan,False,False,False,False,True,False,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
COMP_0005,Газпромбанк,Газпромбанк,,bank,Не указан,,,,,,,"seed, enriched",30,2025-12-23 17:25:29,Газпромбанк,https://www.gazprombank.ru,7744001497,nan,True,nan,nan,False,True,True,False,True,True,False,0.0,nan,nan,nan,nan,nan,nan,nan,https://www.gazprombank.ru/personal/page/faq-deposit/#faq,nan,nan
COMP_0006,МТС,МТС,,telecom,Не указан,,,,,,,"seed, enriched",30,2025-12-23 17:25:29,МТС,https://mts.ru,7740000076,nan,True,nan,nan,False,False,True,False,True,False,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
COMP_0007,Билайн,Билайн,,telecom,Не указан,,,,,,,"seed, enriched",30,2025-12-23 17:25:29,Билайн,https://beeline.ru,7713076301,nan,True,nan,nan,False,False,True,False,True,False,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
COMP_0008,МегаФон,МегаФон,,telecom,Не указан,,,,,,,"seed, enriched",30,2025-12-23 17:25:29,МегаФон,https://megafon.ru,7812014560,nan,True,nan,nan,False,True,True,False,True,True,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
COMP_0009,Tele2,Tele2,,telecom,Не указан,,,,,,,"seed, enriched",30,2025-12-23 17:25:29,Tele2,https://tele2.ru,5029223278,nan,True,nan,nan,False,False,True,False,True,True,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
COMP_0010,Ростелеком,Ростелеком,,telecom,Не указан,,,,,,,"seed, enriched",30,2025-12-23 17:25:29,Ростелеком,https://rt.ru,7707049388,nan,True,nan,nan,False,False,True,False,True,False,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
