name,site_url,industry,inn,site,support_team_size_min,support_evidence,evidence_url,evidence_type,source,has_support_email,has_contact_form,has_online_chat,has_messengers,has_support_section,has_kb_or_faq,mentions_24_7,support_url,kb_url,support_email,vacancies_count,hh_employer_url
Сбербанк,https://www.sberbank.ru,bank,7707083893,https://www.sberbank.ru,124,"На HH.ru найдено: 34 вакансий поддержки, 5 со сменным графиком",https://hh.ru/employer/3529,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,34.0,https://hh.ru/employer/3529
Тинькофф Банк,https://www.tinkoff.ru,bank,7710140679,https://www.tinkoff.ru,29,"На HH.ru найдено: 16 вакансий поддержки, 1 со сменным графиком",https://hh.ru/employer/78638,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,16.0,https://hh.ru/employer/78638
Альфа-Банк,https://alfabank.ru,bank,7728168971,https://alfabank.ru,14,На HH.ru найдено: 7 вакансий поддержки,https://hh.ru/employer/80,jobs,hh_api,0,0,1,0,1,1,0,https://alfabank.ru/make-money/investments/help/,https://alfabank.ru/sme/payservice/acquiring/about-acquiring/,nan,7.0,https://hh.ru/employer/80
ВТБ,https://www.vtb.ru,bank,7736212660,https://www.vtb.ru,142,"На HH.ru найдено: 45 вакансий поддержки, 2 со сменным графиком",https://hh.ru/employer/4181,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,45.0,https://hh.ru/employer/4181
Газпромбанк,https://www.gazprombank.ru,bank,7744001497,https://www.gazprombank.ru,14,На HH.ru найдено: 7 вакансий поддержки,https://hh.ru/employer/3388,jobs,hh_api,0,1,1,1,1,1,0,https://www.gazprombank.ru/personal/page/restructuring/,https://www.gazprombank.ru/personal/page/faq-deposit/#faq,nan,7.0,https://hh.ru/employer/3388
Ростелеком,https://rt.ru,telecom,7707049388,https://rt.ru,32,На HH.ru найдено: 17 вакансий поддержки,https://hh.ru/employer/2748,jobs,hh_api,0,1,0,0,1,0,0,https://rt.ru/care,nan,nan,17.0,https://hh.ru/employer/2748
OZON,https://www.ozon.ru,retail,,https://www.ozon.ru,23,На HH.ru найдено: 16 вакансий поддержки,https://hh.ru/employer/2180,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,16.0,https://hh.ru/employer/2180
Яндекс.Маркет,https://market.yandex.ru,retail,7736207543,https://market.yandex.ru,10,На HH.ru найдено: 5 вакансий поддержки,https://hh.ru/employer/1740,jobs,hh_api,0,1,1,1,0,0,0,nan,nan,nan,5.0,https://hh.ru/employer/1740
М.Видео,https://www.mvideo.ru,retail,,https://www.mvideo.ru,43,"На HH.ru найдено: 23 вакансий поддержки, 2 со сменным графиком",https://hh.ru/employer/2523,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,23.0,https://hh.ru/employer/2523
Эльдорадо,https://www.eldorado.ru,retail,,https://www.eldorado.ru,43,"На HH.ru найдено: 23 вакансий поддержки, 2 со сменным графиком",https://hh.ru/employer/2523,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,23.0,https://hh.ru/employer/2523
