name,site,inn,hh_analysis_success,hh_employer_found,employer_id,employer_url,error,support_team_size_min,support_evidence,evidence_url,evidence_type,vacancies_count,vacancies_details,has_shifts,has_multiple_roles,max_team_size_found
Сбербанк,https://www.sberbank.ru,7707083893,False,True,9364258,https://hh.ru/employer/9364258,,,,,,,,,,
Тинькофф Банк,https://www.tinkoff.ru,7710140679,True,True,78638,https://hh.ru/employer/78638,,128.0, (сменный график 24/7),https://hh.ru/vacancy/128540017,jobs,16.0,"[{'name': 'Заместитель руководителя группы офисных услуг', 'url': 'https://hh.ru/vacancy/128540017', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Оператор по работе с документами', 'url': 'https://hh.ru/vacancy/126925669', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Product marketing manager', 'url': 'https://hh.ru/vacancy/128182628', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Оператор разметки данных', 'url': 'https://hh.ru/vacancy/128258586', 'schedule': 'Удаленная работа', 'employment': 'Проектная работа', 'is_support': True, 'team_size_mentions': []}, {'name': 'Стратегический аналитик', 'url': 'https://hh.ru/vacancy/128919663', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Менеджер проектов (строительство)', 'url': 'https://hh.ru/vacancy/128698437', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'ML-инженер', 'url': 'https://hh.ru/vacancy/128943226', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Специалист Helpdesk', 'url': 'https://hh.ru/vacancy/127777940', 'schedule': 'Сменный график', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Менеджер по работе с физическими лицами', 'url': 'https://hh.ru/vacancy/127623859', 'schedule': 'Удаленная работа', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Партнер по компенсациям', 'url': 'https://hh.ru/vacancy/128023662', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Frontend-разработчик React (junior)', 'url': 'https://hh.ru/vacancy/119867578', 'schedule': 'Удаленная работа', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Frontend developer (React, middle+/senior)', 'url': 'https://hh.ru/vacancy/128798790', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Консультант по мобильной связи', 'url': 'https://hh.ru/vacancy/128956767', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Консультант по мобильной связи', 'url': 'https://hh.ru/vacancy/128956533', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Оператор по работе с ранней задолженностью', 'url': 'https://hh.ru/vacancy/128786176', 'schedule': 'Удаленная работа', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Senior HR в ИТ-хаб Т-Банка', 'url': 'https://hh.ru/vacancy/127144073', 'schedule': 'Полный день', 'employment': 'Проектная работа', 'is_support': True, 'team_size_mentions': []}]",True,False,0.0
Альфа-Банк,https://alfabank.ru,7728168971,True,True,80,https://hh.ru/employer/80,,136.0, (сменный график 24/7),https://hh.ru/vacancy/128625100,jobs,17.0,"[{'name': 'Специалист дистанционного контакт-центра в чате', 'url': 'https://hh.ru/vacancy/128625100', 'schedule': 'Удаленная работа', 'employment': 'Частичная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Менеджер оперативной поддержки', 'url': 'https://hh.ru/vacancy/127845013', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'DevOps специалист', 'url': 'https://hh.ru/vacancy/128913320', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Специалист технической поддержки', 'url': 'https://hh.ru/vacancy/128750572', 'schedule': 'Удаленная работа', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Специалист поддержки клиентов в г. Воронеж,5/2', 'url': 'https://hh.ru/vacancy/128955803', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Специалист дистанционной поддержки клиентов', 'url': 'https://hh.ru/vacancy/128936453', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Специалист дистанционной поддержки клиентов', 'url': 'https://hh.ru/vacancy/128936601', 'schedule': 'Удаленная работа', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Заместитель руководителя', 'url': 'https://hh.ru/vacancy/128818821', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Старший специалист технической поддержки (2 линия)', 'url': 'https://hh.ru/vacancy/128522870', 'schedule': 'Сменный график', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Специалист поддержки клиентов по вопросам ипотеки', 'url': 'https://hh.ru/vacancy/128732764', 'schedule': 'Удаленная работа', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Специалист по технической поддержке (1-я линия)', 'url': 'https://hh.ru/vacancy/128426722', 'schedule': 'Сменный график', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Ведущий универсальный менеджер в отделение банка', 'url': 'https://hh.ru/vacancy/128849642', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Менеджер отделения (группа оперативной поддержки продаж)', 'url': 'https://hh.ru/vacancy/128607954', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Менеджер по работе с клиентами (без продаж)', 'url': 'https://hh.ru/vacancy/127817437', 'schedule': 'Удаленная работа', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Аналитик данных', 'url': 'https://hh.ru/vacancy/127906679', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Системный аналитик (Middle+)', 'url': 'https://hh.ru/vacancy/127205153', 'schedule': 'Удаленная работа', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Менеджер развития клиентских отношений', 'url': 'https://hh.ru/vacancy/128942357', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}]",True,False,0.0
ВТБ,https://www.vtb.ru,7736212660,True,True,4181,https://hh.ru/employer/4181,,296.0," (сменный график 24/7) (несколько ролей: l1, l3)",https://hh.ru/vacancy/128952463,jobs,37.0,"[{'name': 'Стажер IT Юниор - Прикладной администратор', 'url': 'https://hh.ru/vacancy/128952463', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Стажер ВТБ Юниор в Обучение и развитие', 'url': 'https://hh.ru/vacancy/128922873', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Специалист контактного центра', 'url': 'https://hh.ru/vacancy/127872446', 'schedule': 'Гибкий график', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Стажер аналитик данных в Управление инфраструктуры налично-денежного обращения, ВТБ Юниор', 'url': 'https://hh.ru/vacancy/128960301', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Мобильный клиентский менеджер', 'url': 'https://hh.ru/vacancy/128048921', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Клиентский менеджер', 'url': 'https://hh.ru/vacancy/128906325', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Начинающий специалист по работе с клиентами (контактный центр банка, без холодных продаж)', 'url': 'https://hh.ru/vacancy/91787664', 'schedule': 'Гибкий график', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Оператор контактного центра', 'url': 'https://hh.ru/vacancy/122737951', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Клиентский менеджер группы прямых продаж (DSA)', 'url': 'https://hh.ru/vacancy/126971087', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Клиентский менеджер г. Санкт-Петербург', 'url': 'https://hh.ru/vacancy/111034040', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Клиентский менеджер', 'url': 'https://hh.ru/vacancy/128869655', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Координатор отдела управленческого обучения и развития карьеры', 'url': 'https://hh.ru/vacancy/127417300', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Менеджер проектов', 'url': 'https://hh.ru/vacancy/124820604', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Персональный менеджер', 'url': 'https://hh.ru/vacancy/124069697', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Оператор контактного центра', 'url': 'https://hh.ru/vacancy/111723376', 'schedule': 'Сменный график', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Мобильный клиентский менеджер', 'url': 'https://hh.ru/vacancy/128942992', 'schedule': 'Гибкий график', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Специалист клиентской поддержки', 'url': 'https://hh.ru/vacancy/111281532', 'schedule': 'Сменный график', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Клиентский менеджер', 'url': 'https://hh.ru/vacancy/128305571', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Стажер-финансист в Управление валютного контроля и банковского сопровождения, ВТБ Юниор', 'url': 'https://hh.ru/vacancy/128756933', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Специалист по работе с клиентами (входящая линия)', 'url': 'https://hh.ru/vacancy/118758993', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Начинающий специалист', 'url': 'https://hh.ru/vacancy/121967723', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Помощник руководителя', 'url': 'https://hh.ru/vacancy/124834033', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Специалист по обработке неголосовых обращений клиентов юридических лиц (e-mail)', 'url': 'https://hh.ru/vacancy/128006266', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Специалист контактного центра', 'url': 'https://hh.ru/vacancy/122216825', 'schedule': 'Удаленная работа', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Менеджер по работе с участниками внешнеэкономической деятельности', 'url': 'https://hh.ru/vacancy/128414229', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Менеджер по операционному обслуживанию состоятельных клиентов (ВТБ Привилегия)', 'url': 'https://hh.ru/vacancy/128747841', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Менеджер по работе с клиентами в отделение банка', 'url': 'https://hh.ru/vacancy/128819656', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Мобильный клиентский менеджер', 'url': 'https://hh.ru/vacancy/128830906', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Клиентский менеджер розничного бизнеса', 'url': 'https://hh.ru/vacancy/128275423', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Клиентский менеджер', 'url': 'https://hh.ru/vacancy/128933243', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'ВТБ Юниор в Дирекцию развития бизнеса и аналитики', 'url': 'https://hh.ru/vacancy/128396633', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Специалист call-центра', 'url': 'https://hh.ru/vacancy/111333023', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Стажер/Клиентский менеджер стандартного сегмента', 'url': 'https://hh.ru/vacancy/128247182', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Эксперт службы контроля качества выездных продаж', 'url': 'https://hh.ru/vacancy/128694402', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Клиентский менеджер розничного бизнеса', 'url': 'https://hh.ru/vacancy/127145941', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Клиентский менеджер', 'url': 'https://hh.ru/vacancy/128039727', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Продуктовый аналитик в стрим Аналитика и отчетность продаж (внешнеэкономическая деятельность)', 'url': 'https://hh.ru/vacancy/127315161', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}]",True,True,0.0
Газпромбанк,https://www.gazprombank.ru,7744001497,True,True,3388,https://hh.ru/employer/3388,,26.0,На HH.ru найдены признаки крупной поддержки: 5 открытых вакансий,https://hh.ru/vacancy/128956540,jobs,5.0,"[{'name': 'Руководитель проекта (развитие бренда работодателя)', 'url': 'https://hh.ru/vacancy/128956540', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Руководитель направления ВЭД', 'url': 'https://hh.ru/vacancy/128946020', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Senior frontend-разработчик', 'url': 'https://hh.ru/vacancy/128130161', 'schedule': 'Удаленная работа', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Инженер по сопровождению', 'url': 'https://hh.ru/vacancy/128743901', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Инженер по тестированию', 'url': 'https://hh.ru/vacancy/128462138', 'schedule': 'Удаленная работа', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}]",False,False,0.0
МТС,https://mts.ru,7740000076,False,True,12274721,https://hh.ru/employer/12274721,,,,,,,,,,
Билайн,https://beeline.ru,7713076301,True,True,4592004,https://hh.ru/employer/4592004,,15.0,На HH.ru найдены признаки крупной поддержки: 3 открытых вакансий,https://hh.ru/vacancy/128013729,jobs,3.0,"[{'name': 'Специалист Отдела расчетов с клиентами', 'url': 'https://hh.ru/vacancy/128013729', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Инженер по внедрению и поддержке OpenStack и K8-кубернетес', 'url': 'https://hh.ru/vacancy/128013658', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Ведущий сетевой инженер', 'url': 'https://hh.ru/vacancy/128013626', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}]",False,False,0.0
МегаФон,https://megafon.ru,7812014560,False,True,6131837,https://hh.ru/employer/6131837,,,,,,,,,,
Tele2,https://tele2.ru,5029223278,False,True,11633190,https://hh.ru/employer/11633190,,,,,,,,,,
Ростелеком,https://rt.ru,7707049388,False,True,5166812,https://hh.ru/employer/5166812,,,,,,,,,,
