name,site,inn,source,has_support_email,has_contact_form,has_online_chat,has_messengers,has_support_section,has_kb_or_faq,mentions_24_7,support_team_size_min,support_evidence,evidence_url,evidence_type,support_email,support_url,kb_url,chat_vendor
Сбербанк,https://www.sberbank.ru,7707083893,company_site,False,False,False,False,False,False,False,0,,,site,,,,
Тинькофф Банк,https://www.tinkoff.ru,7710140679,company_site,False,False,False,False,False,False,False,0,,,site,,,,
Альфа-Банк,https://alfabank.ru,7728168971,company_site,False,False,False,False,True,True,False,0,,,site,,https://alfabank.ru/get-money/mortgage/ipoteka-s-gospodderzhkoy/,https://alfabank.ru/mobile/faq/,
ВТБ,https://www.vtb.ru,7736212660,company_site,False,False,False,False,True,False,False,0,,,site,,https://www.vtb.ru/samozanyatym/help/vse-o-samozanyatosti/,,
Газпромбанк,https://www.gazprombank.ru,7744001497,company_site,False,False,False,False,False,True,False,0,,,site,,,https://www.gazprombank.ru/personal/page/faq-deposit/#faq,
МТС,https://mts.ru,7740000076,company_site,False,False,False,False,True,False,False,0,,,site,,https://support.mts.ru/mts_mobilnaya_svyaz/Zamena-nomera-ili-SIM-karti-i-pereoformlenie/zamena-sim-karti,,
Билайн,https://beeline.ru,7713076301,company_site,False,False,False,False,True,False,False,0,,,site,,https://beeline.ru/customers/support/,,
МегаФон,https://megafon.ru,7812014560,company_site,False,False,False,False,True,True,False,0,,,site,,https://www.megafon.ru/help/lk/,https://bashkortostan.megafon.ru/help/faq/,
Tele2,https://tele2.ru,5029223278,company_site,False,False,False,False,False,False,False,0,,,site,,,,
Ростелеком,https://rt.ru,7707049388,company_site,False,False,True,False,True,False,False,0,,,site,,https://yandex.com/support/metrica/ru/code/data-collected.html,,intercom
Wildberries,https://www.wildberries.ru,7728316484,company_site,False,False,False,False,False,False,False,0,,,site,,,,
OZON,https://www.ozon.ru,1027739244741,company_site,False,False,False,False,False,False,False,0,,,site,,,,
Яндекс.Маркет,https://market.yandex.ru,7736207543,company_site,False,False,False,False,True,False,False,0,,,site,,https://yandex.ru/support/market/return.html,,
СИТИЛИНК,https://www.citilink.ru,НЕ_НАЙДЕН,company_site,False,False,False,False,False,False,False,0,,,site,,,,
М.Видео,https://www.mvideo.ru,НЕ_НАЙДЕН,company_site,False,False,False,False,False,False,False,0,,,site,,,,
Эльдорадо,https://www.eldorado.ru,НЕ_НАЙДЕН,company_site,False,False,False,False,False,False,False,0,,,site,,,,
DNS,https://www.dns-shop.ru,НЕ_НАЙДЕН,company_site,False,False,False,False,False,False,False,0,,,site,,,,
Лента,https://lenta.com,НЕ_НАЙДЕН,company_site,False,False,False,False,False,False,False,0,,,site,,,,
Магнит,https://magnit.ru,НЕ_НАЙДЕН,company_site,False,False,False,False,False,True,True,10,Поддержка 24/7 (сменный график требует минимум 10 человек),https://magnit.ru,site,,,https://magnit.ru/faq,
Пятерочка,https://5ka.ru,НЕ_НАЙДЕН,company_site,False,False,False,False,False,False,False,0,,,site,,,,
Яндекс,https://yandex.ru,7736207543,company_site,False,False,False,False,False,False,False,0,,,site,,,,
VK,https://vk.com,7743001840,company_site,False,False,False,False,False,False,False,0,,,site,,,,
Рамблер,https://rambler.ru,НЕ_НАЙДЕН,company_site,False,False,False,False,True,True,False,0,,,site,,https://help.rambler.ru/legal/2183/uslovia,https://life.rambler.ru/instructions/55792158-novyy-god-v-kredit-kak-perestat-pereplachivat-za-prazdniki/,
1С,https://1c.ru,НЕ_НАЙДЕН,company_site,False,False,False,False,True,False,False,0,,,site,,https://1c.ru/rus/support/support.htm,,
Авито,https://www.avito.ru,7724458880,company_site,False,False,False,False,True,False,False,0,,,site,,https://support.avito.ru/articles/200026938,,
Дром,https://www.drom.ru,НЕ_НАЙДЕН,company_site,False,False,False,False,True,True,False,0,,,site,,https://my.drom.ru/help/VozniklaProblemanaDrome,https://www.drom.ru/faq/,
Юла,https://youla.ru,НЕ_НАЙДЕН,company_site,False,False,True,False,False,False,False,0,,,site,,,,jivo
2ГИС,https://2gis.ru,НЕ_НАЙДЕН,company_site,False,False,False,False,True,False,False,0,,,site,,https://help.2gis.ru/question/kuda-propal-otzyv?utm_source=v5online,,
Ингосстрах,https://www.ingos.ru,7714017986,company_site,False,False,False,False,False,True,True,10,Поддержка 24/7 (сменный график требует минимум 10 человек),https://www.ingos.ru,site,,,https://www.ingos.ru/faq,
Ренессанс Страхование,https://www.renins.com,7736019967,company_site,False,False,False,False,False,False,False,0,,,site,,,,
